Parking_lot,yolo_car_count,date_time
IllerCreek,7.0,2020-06-02 12:03:00
IllerCreek,7.0,2020-06-02 12:19:00
IllerCreek,6.0,2020-06-02 12:27:00
IllerCreek,8.0,2020-06-02 13:16:00
IllerCreek,6.0,2020-06-02 13:30:00
IllerCreek,5.0,2020-06-02 13:40:00
IllerCreek,7.0,2020-06-02 13:50:00
IllerCreek,3.0,2020-06-02 14:01:00
IllerCreek,9.0,2020-06-02 14:11:00
IllerCreek,9.0,2020-06-02 14:21:00
IllerCreek,8.0,2020-06-02 14:31:00
IllerCreek,8.0,2020-06-02 14:41:00
IllerCreek,8.0,2020-06-02 14:51:00
IllerCreek,7.0,2020-06-02 15:01:00
IllerCreek,8.0,2020-06-02 15:11:00
IllerCreek,8.0,2020-06-02 15:21:00
IllerCreek,7.0,2020-06-02 15:31:00
IllerCreek,7.0,2020-06-02 15:41:00
IllerCreek,7.0,2020-06-02 15:51:00
IllerCreek,7.0,2020-06-02 16:02:00
IllerCreek,9.0,2020-06-02 16:12:00
IllerCreek,10.0,2020-06-02 16:22:00
IllerCreek,9.0,2020-06-02 16:32:00
IllerCreek,6.0,2020-06-02 16:42:00
IllerCreek,6.0,2020-06-02 16:52:00
IllerCreek,5.0,2020-06-02 17:02:00
IllerCreek,6.0,2020-06-02 17:12:00
IllerCreek,6.0,2020-06-02 17:22:00
IllerCreek,6.0,2020-06-02 17:32:00
IllerCreek,7.0,2020-06-02 17:42:00
IllerCreek,6.0,2020-06-02 17:52:00
IllerCreek,6.0,2020-06-02 18:02:00
IllerCreek,3.0,2020-06-02 18:12:00
IllerCreek,3.0,2020-06-02 18:22:00
IllerCreek,3.0,2020-06-02 18:32:00
IllerCreek,3.0,2020-06-02 18:42:00
IllerCreek,3.0,2020-06-02 18:53:00
IllerCreek,4.0,2020-06-02 19:04:00
IllerCreek,5.0,2020-06-02 19:15:00
IllerCreek,4.0,2020-06-02 19:26:00
IllerCreek,5.0,2020-06-02 19:37:00
IllerCreek,5.0,2020-06-02 19:47:00
IllerCreek,5.0,2020-06-02 19:57:00
IllerCreek,4.0,2020-06-02 20:07:00
IllerCreek,2.0,2020-06-02 20:18:00
IllerCreek,2.0,2020-06-02 20:28:00
IllerCreek,1.0,2020-06-02 20:38:00
IllerCreek,1.0,2020-06-02 20:48:00
IllerCreek,0.0,2020-06-02 20:58:00
IllerCreek,0.0,2020-06-02 21:08:00
IllerCreek,0.0,2020-06-02 21:19:00
IllerCreek,0.0,2020-06-02 21:30:00
IllerCreek,0.0,2020-06-02 21:40:00
IllerCreek,0.0,2020-06-02 21:50:00
AntoineW,4.0,2020-06-02 12:03:00
AntoineW,4.0,2020-06-02 12:19:00
AntoineW,4.0,2020-06-02 12:27:00
AntoineW,3.0,2020-06-02 13:16:00
AntoineW,3.0,2020-06-02 13:30:00
AntoineW,1.0,2020-06-02 13:40:00
AntoineW,1.0,2020-06-02 13:50:00
AntoineW,1.0,2020-06-02 14:01:00
AntoineW,1.0,2020-06-02 14:11:00
AntoineW,1.0,2020-06-02 14:21:00
AntoineW,1.0,2020-06-02 14:31:00
